bno,title,name,cno,allerinfo,cdate,ingredients,content,types,meterials,image
28,"영국주방 달지 않고 촉촉한 맛, 크림치즈 컵케이크(Creamcheese Cupcakes)",-,-,"밀, 우유, 달걀, 아몬드",2018-09-13T18:46:19+09:00,"박력분 150g,크림치즈(라이트도 가능) 150g,실온 무염버터 80g,설탕 100g,베이킹파우더 4g,계란 2개,아몬드 슬라이스 약간(선택)","'실온 무염버터 80g과 크림치즈 150g을 볼에 넣고 크림화 시켜주세요   저는 크림치즈 라이트를 사용했는데 일반 크림치즈보다 맛이 연하니 참고해 주세요 :D  오븐은 180도로 예열해 주세요', '크림화해 놓은 볼에 설탕 100g을 넣고 섞어주세요   조금 덜 달게 먹고 싶다면 80g~90g 정도 넣고 만들어 주셔도 돼요!', '계란 2개를 흰자와 노른자로 분리한 뒤, 노른자를 먼저 넣고 섞어주세요', '계란 흰자(2개 분량)을 볼에 넣고 섞어주세요', '박력분 150g과 베이킹 파우더 4g을 볼에 체 쳐서 넣고 섞어주세요', '머핀 틀에 반죽을 넣고 아몬드 슬라이스를 올려주세요! 그리고 180도로 예열한 오븐에 넣고 15분~20분 정도 구워주세요!  저는 반은 올리고 반은 플레인으로 했어요'",디저트,밀가루,"'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/13/e008d580373300245e61a35e9fa6b8771.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/13/865620e1e4c45c6729454fef57bff8141.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/13/7e1a5b8803862bb4bd05a913f04a2fb81.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/13/9a047d69f8b89dbd26ed29fa59a0e8581.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/13/410f3f7720dd464696a5eeb8f4f5c9781.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/13/8c0ac320df15e91547b9203b058a19f61.jpg'"
29,아침 대용으로 좋은 '바나나?스플릿' 만들기,-,-,,2017-12-16T22:32:25+09:00,"바나나 1개,블루베리 10개,딸기 2개,그라놀라 2TS,꿀 1/2TS","'바나나는 껍질을 벗겨 반으로 가른다', '딸기는 작게 잘라준다', '접시에 자른 바나나를 담고 요거트를 올린 뒤 딸기, 블루베리, 그라놀라, 꿀을 뿌려 낸다'",기타,기타,"'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/16/94741fa630a0a2e82ae4c45aa9ede75f1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/16/f74c602037b21ab34ae0c88063a830261.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/16/93f998fd535fd2fe9ed436e2fc68d6bc1.jpg'"
30,칠리새우ㅣ쉬림프 박스 만들기,-,-,"새우, 우유, 토마토, 대두",2018-01-05T18:11:39+09:00,"칵테일 새우 1컵(종이컵),다진마늘 1스푼,버터 1조각,식용유 2스푼,케찹 2스푼,고추가루 1스푼,설탕 1스푼,간장 1스푼,식초 1스푼,물 약간","'냉동새우는 물에 넣고 해동시켜주세요', '칠리 소스 재료들을 모두 넣고 섞어주세요', '팬에 식용유를 두르고 다진 마늘을 낮은 불에서 살짝 볶아주세요', '마늘이 살짝 익을 때쯤 해동된 새우를 넣고 후추로 살짝 뿌려주세요', '새우가 익어가면 소스를 넣고 소스와 새우가 함께 잘 버무려지게끔 물을 살짝 넣고 섞어주세요', '마무리로 버터를 한조각 넣고 섞어주세요', '밥을 준비해주세요', '밥 위에 칠리새우를 올려주시면 완성입니다 !'",메인반찬,해물류,"'https://recipe1.ezmember.co.kr/cache/recipe/2018/01/05/d42c37b8064214285415b7c3fad198b71.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/01/05/bb3c0892e8f1776e48f27908160251631.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/01/05/2dba0c73e88cd585e4e3e01927cd90881.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/01/05/f9ffd3f4d30114287b8f49d8e58713ba1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/01/05/4aa4943e9e194f9c48c2d03aebcea72c1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/01/05/b4cba4bd1546b57fec6879ff5883da6c1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/01/05/10c70461746f586e9b568af845e7a1531.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/01/05/3bb9dfbf636d5dd2397b31b8f00700fd1.jpg'"
31,내가 사랑하는 토마토스프 만들기,-,-,"토마토, 밀, 우유, 닭고기",2017-02-03T21:06:14+09:00,"홀토마토캔 1개,국거리 400그램,밀가루 2스푼,오일과 버터 합쳐서 2스푼,마늘 6알,당근 중간크기 2개,양파큰것 1개,가지큰것 1개,샐러리큰것 2줄기,파프리카큰것 1개,새송이버섯 2개,치킨스톡 2알","'\u200b \u200b오늘은 생토마토가 없어서 홀토마토를 사용했어요.^^요거 한통 다 들어갔네요. 전체 스프의 양은 8인분정도??', '호주산 국거리감인데 400그램이네요. 여기에 밀가루 넣고 뒤적뒤적.. 요 방법은 원래는 스튜만들때 사용하기도 하지만.. 스프가 넘 맑은게 싫을경우 살짝 걸쭉한게 좋다면 요렇게 시작하시면 좋아요. 그리고 저는 스프의 감자를 별로 좋아하지않아서 넣지않거든요. 그래서 밀가루옷을 입혀준답니다. 살짝 걸쭉하라고요. 감자를 많이 넣는다면 쇠고기를 그냥 볶으셔도 되어요.', '오일과 버터를 적당히 두르고 밀가루옷입힌 쇠고기와 편마늘을 넣고 달달 볶아줘요.', '감자대신 저는 당근을 왕창 넣지요. ㅎㅎㅎ 중간크기 당근 2개정도 썰어서 넣고 볶아주다가..', '양파 큰거1개, 가지 큰거1개, 샐러리 큰거2줄기, 파프리카 큰거1개를 잘라넣어주고 볶아요. 여기에 새송이버섯도 좋고 아무버섯이나 다 좋아요. 샐러리는 가능한 넣어주셔야 풍미가 좋더라구요.^^', '충분히 볶아주다가 물을 아주 넉넉히 넣어줍니다. 충분히 잠기게 한참 끓여줘야하니까요.ㅎㅎ 여기에 치킨스톡 2알정도 넣어주시고요.', '20여분정도 푹 끓으면 홀토마토 한통 다 넣고 가위로 토마토를 쑹덩쑹덩 막 대충 잘라줍니다. 그리고 20분정도 더 푹 끓여주면서 소금으로 간을 하지요. 그럼 끝....', '피자치즈를 올려 오븐에서 노릇하게 치즈를 녹은다음 내셔도 좋고요. 저는 멕시칸치즈 좀 뿌려주고 비스킷을 부순다음 뿌려줬어요.'",스프,채소류,"'https://recipe1.ezmember.co.kr/cache/recipe/2017/02/09/f13667253bd51182a949404a0ac585cf1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/02/09/72e1bc5c8637ebcb84bc2401829efe231.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/02/09/2f95f3e6c421d796e50b24b8d4caa1511.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/02/09/203eafc74be23d4dfd9dd65a2e2944551.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/02/09/b59446c84004fef6e1625ff750517f791.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/02/09/74705553427b3712d677f50b530fcec21.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/02/09/eb6750b54350065a793f37fcaeae5aa71.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/02/09/bd664408142489a5ead3a3f4cf7737e61.jpg'"
32,카레라이스 만드는법,-,-,돼지고기,2018-04-09T11:27:59+09:00,"돼지고기 150g,감자(중) 2개,양파(대) 1개,당근(대) 1/3개,식용유 2큰술,카레 100g,물 6~700ml","'고기와 야채는 한입크기로 적당히 썰어줍니다.', '팬에 기름을 두르고 양파를 살짝 볶아주세요.', '고기를 같이 볶아주다가 하얗게 변하면', '감자와 당근을 넣고 볶아줍니다.', '분량의 물을 넣고 야채가 익을때까지 끓여주세요', '야채가 다 익으면 카레를 넣고 잘 저어가며 끓여줍니다.', '눌지않게 저으면서 한소끔 끓여주시면 완성입니다.'",밥/죽/떡,돼지고기,"'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/09/1eaf23b23f333fad6f0bbf4e7d0efcca1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/09/d5cb017d1dac3c9107067dca79f4592b1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/09/24308c38b15ed71b2353af8fa1ece1011.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/09/cdd24adc88322d5e9aba0377fa3540581.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/09/8a1197ea3a3af06f618b3d72a76e96ef1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/09/5b9bb2e15d54cd30d3b63d09048bc10b1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/09/376c29f37089f329c2258f57650ad03b1.jpg'"
33,안동찜닭 황금레시피 찜닭 레시피 중에서 최고!,-,-,"닭고기, 대두",2017-12-11T14:22:45+09:00,"손질된 닭 한마리 7호,당면 1줌,감자 큰 거 2개,양파 1개,당근 1/3개,오이 1/3개,대파 1/2개,청고추 1개,물 4종이컵,진간장 13스푼,물엿 5스푼,설탕 3스푼,캐러멜소스 생략가능 1스푼,다진마늘 3스푼,후춧가루 톡 3번,인스턴트커피 1봉,미림 혹은 소주 3스푼,쌀뜨물 또는 우유","'당면 불리기 큰 볼에 당면 한줌 분량을 넣고 당면이 잠길 정도의 찬물을 넣어주세요. 그냥 사용하면 억세기 때문에 약 1시간 정도 불려 주었습니다.', '1시간 정도 불려주면 부피가 늘어나는데요. 참고해주셔서 취향에 따라 가감해 주세요.', '< 야채 손질 > 당근 1/3개는 둥글 납작한 모양으로 양파 1개는 듦성 큼직하게 오이 1/3개는 어슷썰기로 대파 1/2개는 손가락 길이 정도로 큼직하게 썰어서 준비해주세요.', '닭 잡내 제거 1차 손질되고 토막 난 7호 닭 1마리는 흐르는 물로 1차 세척을 해주세요. 큰 볼에 닭이 모두 잠길 정도의 쌀뜨물을 담고 약 30분 동안 잡내를 제거해주시고요.', '닭 잡내 제거 2차 1차 잡내 제거를 마친 닭은 흐르는 찬물로 한번 헹궈 주세요. 냄비에 닭을 모두 넣고 물과 미림 3스푼 혹은 소주 3스푼을 넣고 강불로 끓여주세요.', '보글보글 끓기 시작하면 닭은 바로 건져내 주시면 된답니다.  기름기 제거와 잡내는 확실히 잡혔겠죠! ', '안동찜닭 소스 만들기 조금 전 사용했던 냄비에 물을 모두 버리고 종이컵 4컵 분량의 물과 닭을 넣어주세요.', '이어서 베이스 소스인 진간장 13스푼을 넣어주시고요.', '황금레시피 필살기인 커피 1스푼을 넣고 10분 정도 강불에서 끓여주세요.  커피는 잔류 잡내 제거에 큰 도움을 주며 색상때문에 넣는 캐러멜소스를 안넣어도 찜닭의 진한 국물 색상을 만들어주기도 한답니다 저는 오늘 두가지 다 준비되어있어 다 넣었어요!', '10분 후 설탕 3스푼과, 물엿 6스푼을 넣고 살살 저어 주시며 1분 동안 끓여주세요.', '물엿6스푼', '깔끔한 국물맛을 위해 올라오는 거품은 걷어내 주세요.', '야채 넣고 끓이기   이제 야채를 넣어줄 차례!  고추와 대파를 제외하고 손질해 놓은 감자, 당근, 오이, 양파를 넣고 으깨지지 않게 살살 저어 주세요.', '다진 마늘 3스푼, 후추 톡 3번,캐러멜 소스 1스푼을 넣고 뚜껑을 닫고 10분간 강불로 끓여주세요.', '후추 톡! 3번', '캐러멜소스1스푼', '손질해 놓은 대파 1/2개, 홍고추 1개 불려놓은 당면 한 줌을 모두 넣어주세요. 그리고 정확히 2분 30초만 끓여주시는 게 최적의 당면 식감을 만드는 포인트라고 하네요.', '보는 것만으로도 그때의 맛이 생각나는 식욕 돋게 하는! 찜닭 완성입니다. ^_^', '일단 거두절미하고 닭다리 맛부터 볼게요! 적당히 탄력 있는 닭살은 입에 넣고 후릅! 하면 살과 뼈가 분리돼요. 평소 안동찜닭을 좋아하시는 친정 아빠는 맛을 보시더니 파는 것보다 훨씬 맛있다고 A 뿔뿔 뿔! 이다를 외쳐주셨답니다.  엄청 칭찬해 주셨어요 우헤헤헤 험험..', '찜닭 맛이 거기서 거기일 수도 있겠지만 어른, 아이 할 것 없이 모두 드시기도 좋고적당한 짭조름한 맛이 어우러진 꽤 괜찮은 레시피였답니다.'",메인반찬,닭고기,"'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/11/6c781de9fb641e4726035fc816b2d34a1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/11/dfeb7e1b5859b3819649687c4f22a2cd1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/11/8ef96a6da3f6e11a300025c5b70b42401.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/11/b7fb36bd9e7ddf85d741be10c3dcb3671.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/11/6e3f25b60c5242cac167895aed744d241.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/11/b6132bc605dfce667c86a6641a7758b11.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/11/ce19248dab599e50370e4dc568b498ba1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/11/ad44c8014731ea48d4c63b4b810f3fcb1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/11/3c6721f0c46ddefff556b5268d05b0931.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/11/267444d6ddb756bd9fa850b5f9fb05c61.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/11/96bb5cde65861c472ff80b08396e7cea1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/11/a82fc4b57b25c1d4ab8d377947330c3f1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/11/75840c96e65a5f8c194605914ddf79261.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/11/a34fdb09d1bf98d75eb96aa35fae24801.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/11/45b5e0e6848405017bcd4a4e1329b9131.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/11/cb638e4b58edbaaf57b008d81aa29c4a1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/11/6776dd2c244c4b0d2508c6093ecaf0f91.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/11/8256b7005321943cf9b5b1ddb2de13801.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/11/222a58b4e2f6b6bbdc7cba897a55378c1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/11/4c7f3c2e02585647ccc67d733c91353b1.jpg'"
34,타코 샐러드,-,-,"밀, 소고기(쇠고기), 우유",2016-02-08T23:14:13+09:00,"또띠아 1장,다진소고기 100g,양상추 1/4개,양파 1/4개,다진마늘 1/2작은술,체다치즈 1장,파마산치즈 조금,타코시즈닝 1큰술,소금,오일,후추,토마토 1개,양파 1/4개,할라피뇨 1개,블랙올리브 2개,다진마늘 1/2작은술,레몬 1/2개,소금,설탕,아보카도 1개,양파 1/4,다진마늘 1/2작은술,레몬 1/2개,소금","'재료를 준비 해주세요.', '또띠아는 오목한 오븐용 그릇에 담아 모양을 잡아 180도로 예열된 오븐에 5~10분간 구워줍니다.', '양상추는 먹기 좋게 손으로 찢어 어린잎과 각각 물에 담궈둡니다.', '양파는 잘게 다져줍니다.', '달군 팬에 기름을 두르고 양파가 투명해 질 정도로 볶다가 소금, 후추로 간을 하고 다진 소고기를 넣어 볶아줍니다. 고기 색이 변하면 타코시즈닝을 넣어 한번 더 볶아줍니다.', '토마토, 양파, 올리브, 할라피뇨를 잘게 썰어 재료를 섞어 살사소스를 만들어줍니다.', '아보카도를 분리해서 으깨고 레몬즙을 더해 섞어줍니다.', '다진 양파, 다진 마늘, 소금을 넣고 섞어서 구아카몰레를 만들어 줍니다.', '구운 또띠아에 수분을 제거한 양상추를 올리고 볶은 소고기, 어린잎을 올려줍니다.', '살사 소스, 구아카몰레, 사워크림을 올리고 체다치즈를 썰어서 올려줍니다. 파마산 치즈를 갈아 올려서 완성합니다.'",샐러드,밀가루,"'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/08/31cacd85d043e001fa891c505b4250e51.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/08/b13d1cc1420cabe3727940ba32b5d09f1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/08/6a87ffffcb5b1ffda87e69ecc5e4df391.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/08/844107608c3e48784c3aada5d6f272221.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/08/461563a63b00ecabc831f99d248033061.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/08/5ce000278d2ad26b3fb5f3be14f1713e1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/08/58f80c3e793842ecea22b0bdc1683e7e1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/08/9f6f14b5ea1d64ebb8a3addc7ff168031.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/08/54e1b2c04d6bcf8d21284372152342701.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/08/8a6ab69379c79cb4cda34ef3e523bf121.jpg'"
35,돼지고기고추장찌개,-,-,"돼지고기, 대두",2018-03-09T15:05:50+09:00,"돼지고기,감자 2개,애호박 1/2개,청양고추 4개,다진마늘 1큰술,고추장 2큰술,양파 1개,간장 3큰술,설탕 1큰술,올리고당 2큰술,소금 2꼬집,참기름 2큰술,고춧가루 1큰술","'애호박, 청양고추, 양파, 감자는 먹기 좋게 썰어주세요. 전 고구마를 사용했어요.', '돼지고기도 원하는 양만큼 준비하시고 먹기 좋게 썰어주세요.', '냄비에 참기름 2큰술과 고추장 2큰술을 넣어 약불에 볶아줍니다.', '참기름과 고추장을 잘 볶아준 뒤, 돼지고기와 다진마늘 1큰술을 넣어 조금 더 볶아주세요.', '고기에 양념이 잘 버무려지듯 볶아지면, 고춧가루 1큰술도 넣어 같이 볶아주세요.', '감자, 청양고추, 양파, 애호박을 넣고, 물 한컵 반을 넣어 졸여주세요.', '간장 3큰술, 설탕 1큰술, 올리고당 2큰술, 소금 두꼬집을 넣어 졸여주세요.', '야채가 잘 익을때까지 중불과 약불을 번갈아가며 졸여주시면 끝.'",찌개,돼지고기,"'https://recipe1.ezmember.co.kr/cache/recipe/2018/03/09/107afca3898f122de481f3d973df7b4f1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/03/09/75dd6cfcf740dfc5975923072a36f66c1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/03/09/9e38ca812f2d5d01c8c258a0021ecaf21.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/03/09/d20d47a83fae06669af24b5adf3927941.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/03/09/51087f128c0806622b99e1ce4b65e4961.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/03/09/d555122eaf83d14c79faa21802ffa17c1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/03/09/b83a4a12f9fbe4b21bb78f01da7ec9321.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/03/09/a1cc7c8a3b09fc2a82a05c2d7edb3fbb1.jpg'"
36,매생이 굴국 / 제철에 먹는 영양국,-,-,"굴, 대두",2016-12-08T11:57:56+09:00,"매생이 300g,굴 200g,다진마늘 1t,참기름 1T,국간장 2T,물 4컵","'매생이는 넓은 볼에 담아 깨끗이 씻어주세요', '여러번 씻어 가위로 잘라주고', '굴은 엷은 소금물에 껍질이 없도록 씻어 주는데요 처음에 씻었던 소금물로 두 세번 씻고 마지막에 찬물로 헹궈 체에 밭쳐주세요', '달군 냄비에 참기름 1T 넣고', '마늘1t 넣어 마늘 향을 살짝 내주고~', '굴을 넣어 살짝 볶다가', '물4컵을 넣고 끓으면 매생이를 넣어주세요', '한번 끓어오르면 국간장 2T를 넣고 한번 더 끓여주고', '오래 끓이지 않아도 돼요~', '완성그릇에 담아냅니다'",국/탕,해물류,"'https://recipe1.ezmember.co.kr/cache/recipe/2016/12/08/2818f208e5c72567db9176ae974845111.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/12/08/2c0d3cb2f9b0c81f4b13891c537fa19d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/12/08/7c18b1e15690a37f3d88ee7e2be04f461.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/12/08/80e5800c3c70487d130725615a6f79da1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/12/08/44045bb433d18dda4658b1c8b79d658a1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/12/08/997024b72f397eef19b6fb2eafbac0bc1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/12/08/ba9e77f9dd043479a048f919081d00281.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/12/08/0ba9991e4627a7f9a4655b4f9eb97f611.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/12/08/1e81f33184ab1be7ed17d266bdbac4191.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/12/08/3ca3fed24899e5f044a359a0a076bd891.jpg'"
37,초간단 럭셔리요리@ 매콤참치퀘사디아,-,-,"밀, 생선, 우유, 토마토",2016-04-08T18:58:03+09:00,"또띠아 2장,참치캔 1개,치즈 취향껏,양파 0.5개,청양고추 1개,토마토소스 4T","'참치캔, 햄, 양파, 치즈(취향대로), 토마토소스, 또띠아를 준비하고, 추가로 느끼함을 잡아주고 매콤함을 더해주기위해 청양고추도 준비합니다.', '또띠아 한쪽면에 토마토소스를 2T덜어 바르고 캔참치의 기름기를 최소화하여 올려줍니다', '그 위로 양파올리고', '햄올리고', '청양고추는 잘게썰어 고루 분포시켜 올리고 본인이 좋아하는 재료 더 추가합니다.', '다른 또띠아의 한면에도 토마토소스를 2T 발라줍니다', '기존에 재료쌓아올린 또띠아에 치즈를 듬뿍올리고', '덮어줍니다 그리고 이대로 전자렌지에서 2분 돌려주면', '끝', '치즈가 녹아있죠', '먹기좋게 잘라주고', '하나씩', '집어들어', '먹으면 기가 막히는 맛입니다♥'",양식,기타,"'https://recipe1.ezmember.co.kr/cache/recipe/2016/04/08/08c50878f26718874cac63c77549de121.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/04/08/65cc338e9c2ecdc1f64ee257bb99655e1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/04/08/67b3fb23e4a374bf670a613061223cee1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/04/08/0a363b4592c7dfbe544c4f0c284154c41.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/04/08/d4432c578626daca386b6803fc5f002b1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/04/08/c0221950669635e1c6e8e3027449699b1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/04/08/6ac2becfa9bc6b3cf37ec1b3ad98a7231.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/04/08/bab5cf0b26aa9fe507edf52f5526d19d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/04/08/29304c2f43c3107d83877156c361f0c51.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/04/08/329f8a82d06a4d78e6dfbedac9f3eaec1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/04/08/8fa89fed859b0af984cf82f539f7d8c61.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/04/08/895b1ddf686972cdbe908c8e3eae32641.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/04/08/f8662ac9a2b0d551c212788d5d5edb3b1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/04/08/3ed0431b54f03ff211d9923c985d0cfd1.jpg'"
38,간단 한끼 참치마요 밥버거 만들기,-,-,"생선, 달걀, 대두",2018-10-07T20:34:15+09:00,"밥 1공기,캔참치 3큰술,단무지 30g,김가루 3큰술,배추김치 2줄기,마요네즈 2큰술,소금 1/2티스푼,설탕 1티스푼,깨소금 1꼬집,소금 2꼬집,깨소금 1꼬집,참기름 1티스푼,들기름 또는 참기름 2큰술,간장 2티스푼,설탕 1티스푼,고춧가루 1티스푼","'재료를 준비해주세요~.', '캔참치는 기름기를 따라버리고 참치마요네즈 양념재료를 넣고 섞어주세요~.', '단무지는 1cm크기로 깍뚝썰기해주세요~.', '깍뚝썰기한 단무지를 참치마요네즈에 넣고 섞어주세요~.', '배추김치는 잘게 다져주세요~.', '팬에 다져놓은 배추김치와 볶음김치 양념재료를 넣고 중불에서 3분정도 볶아주세요~.', '중불로 볶아주셔야 타지않고 맛있게 볶아진답니다~.', '취향껏 계란후라이를 넣어주셔도 좋답니다~.', '밥에 김가루.참기름.소금.깨소금을 넣고 잘 섞어주세요~.', '밥공기에 비닐 또는 랩을 깔아준뒤 양념한 밥 1/2을 깔아주세요~.', '참치마요네즈를 위에 얹어주세요~. (저는 깻잎을 좋아해서 깻잎도 올렸답니다~.)', '계란후라이도 취향껏 얹어주세요~.', '볶음김치도 얹어주세요~.', '재료를 다 올렸으면 남은 밥을 마저 올리고 비닐로 감싸주세요~.', '비닐이나 랩으로 감싸주면 모양이 더욱 예쁘게 잡히고 그릇에서 잘떨어진답니다~.'",밥/죽/떡,쌀,"'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/38b8d5531818a50fbcda42d5e57b821a1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/f067badf42863a9c50b3473a0c62da001.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/a227dfa1edcddb34c3babf6d0c0c34191.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/eed06bdeee17621e8d31fd2a37f052551.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/45dd19b9e3e2dcb5091c9cde1ffaf61e1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/39eee0c659b2ac9575f560eddfbac6be1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/5c51d58007ee67236831615d97b7a7b11.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/cfed7fb4a967ef7fbada94e8563ecb2e1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/4e831531bbb65ba7fb8a7ba8fed43f1d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/ada9e9e522ce15b4264ffd5eddf0ed611.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/ab94c42c166acab2802f8395cee00e361.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/34dd7f70cc4543c7fb294c436c3f1bde1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/841abfa629bed983755fadf2fdff48411.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/00384a004c3641216f8b58ca1f37d9001.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/f5dd48fc441cc87accf18f2a670ff0d91.jpg'"
